model,Cell Line Name,"ERASTIN (BRD:BRD-A25004090-001-08-4) log2 fold change PRISM Repurposing Public 24Q2"
ACH-000827,WM793,1.52055079949
ACH-000831,HEC50B,NA
ACH-000832,CAL27,0.138048254744
ACH-000833,RH30,-1.25620665123
ACH-000834,UMUC1,1.14571761402
ACH-000835,GCT,0.901739866844
ACH-000836,YD15,0.223687872741
ACH-000837,NCIH322,0.560743787789
ACH-000838,AMO1,NA
ACH-000839,SCABER,0.424576138
ACH-000840,HCC366,0.510818546464
ACH-000841,NCIH2087,0.419296597918
ACH-000842,SW480,0.760202173112
ACH-000843,HARA,1.68955170968
ACH-000845,NCIH1373,-0.925500563048
ACH-000846,FADU,0.403161734391
ACH-000847,HGC27,-0.537806017605
ACH-000848,JHH7,0.174108588413
ACH-000849,MDAMB468,-2.06851681714
ACH-000852,NCIH1435,0.159295097773
ACH-000853,NCIH661,-0.373534200142
ACH-000855,KYSE150,0.0893402303955
ACH-000856,CAL51,0.651328438695
ACH-000858,KNS62,-0.15028814345
ACH-000859,HCC1954,-0.33208222058
ACH-000860,NCIH358,0.656368596091
ACH-000862,KMBC2,-0.108229570134
ACH-000863,DBTRG05MG,-2.89012204077
ACH-000865,KYSE450,NA
ACH-000866,NCIH1048,1.26960447613
ACH-000867,CHAGOK1,NA
ACH-000868,HCC1195,-2.10588968144
ACH-000869,NCIH1568,-1.67223690418
ACH-000870,NCIH1930,NA
ACH-000872,HCC515,NA
ACH-000873,KYSE270,0.188358559538
ACH-000875,NCIH2347,-0.59053383199
ACH-000877,EB1,NA
ACH-000878,HCC15,-0.228900944692
ACH-000879,MFE296,-0.0108726227542
ACH-000880,AGS,0.907606113361
ACH-000881,MELJUSO,-0.711870739209
ACH-000882,IGR1,0.129283768789
ACH-000883,SW1783,-0.300121686762
ACH-000884,MDAMB435S,-2.70548128986
ACH-000885,TOV21G,NA
ACH-000886,NCIH2009,0.0913301116345
ACH-000888,NCIH1793,0.941957907979
ACH-000890,SW1271,-2.91536317523
ACH-000891,HCC1438,-2.51925005291
ACH-000892,NCIH1563,1.57824271877
ACH-000893,NCIH1651,0.540159998622
ACH-000895,CL34,1.60392576223
ACH-000896,647V,0.520231685015
ACH-000897,FTC238,1.19215867839
ACH-000898,SNU719,0.427160001687
ACH-000899,WM88,0.657581264281
ACH-000900,NCIH23,-0.798624259234
ACH-000901,HCC1359,-1.44186913339
ACH-000902,CAL148,NA
ACH-000903,FTC133,0.62262612036
ACH-000905,5637,0.388878107383
ACH-000906,ES2,NA
ACH-000909,JHUEM2,0.469106830524
ACH-000910,MDAMB453,NA
ACH-000911,NUGC3,0.986198957393
ACH-000913,ESS1,-0.865004391551
ACH-000914,HT,NA
ACH-000915,IPC298,-0.132190910136
ACH-000916,NCIH1573,0.676129978061
ACH-000917,TE4,1.20633054787
ACH-000918,MOLT16,NA
ACH-000919,IM95,0.879735645006
ACH-000920,CMLT1,NA
ACH-000921,NCIH157DM,-2.54696759501
ACH-000922,RCHACV,NA
ACH-000924,NCIH2172,0.343224728704
ACH-000925,DV90,NA
ACH-000926,HT55,0.935752771616
ACH-000927,BT474,1.03260534839
ACH-000929,NCIH2110,0.447215057971
ACH-000932,SNU1,NA
ACH-000934,MDAMB361,0.793164749093
ACH-000935,MDST8,NA
ACH-000936,EFO27,0.0494184331098
ACH-000937,PF382,NA
ACH-000938,NALM6,NA
ACH-000939,SKUT1,0.254583431913
ACH-000940,AN3CA,0.198110745148
ACH-000941,HEC1B,-0.639725347428
ACH-000942,HPBALL,NA
ACH-000943,RKO,0.0635628375247
ACH-000945,NCIH650,-0.143701807213
ACH-000946,HEC265,0.513020041367
ACH-000947,OVK18,-0.357773473861
ACH-000948,2313287,0.588293068348
ACH-000950,LOVO,1.05587537163
ACH-000952,MDAPCA2B,NA
ACH-000954,HEC1A,-0.544375692941
ACH-000955,SNU407,0.249163175556
ACH-000956,22RV1,0.982319114742
ACH-000957,LS180,0.210829361426
ACH-000958,SW48,NA
ACH-000959,SNUC4,0.275347383177
ACH-000961,ISHIKAWAHERAKLIO02ER,0.510549477966
ACH-000962,OC314,-0.309069311137
ACH-000963,CCK81,0.453075934687
ACH-000964,MOLT3,NA
ACH-000965,RL952,0.248378080148
ACH-000966,IGROV1,-1.03403349445
ACH-000967,SNUC2A,1.27590330733
ACH-000968,COLO792,0.86314490422
ACH-000970,SNUC5,0.267837137126
ACH-000971,HCT116,0.15037200778
ACH-000972,HEC151,0.439605879264
ACH-000973,639V,-0.436175264138
ACH-000974,SNGM,-0.665798997594
ACH-000976,HUCCT1,-3.11119039638
ACH-000977,LNCAPCLONEFGC,0.736710275317
ACH-000978,EN,0.862826212056
ACH-000979,DU145,-0.689819317596
ACH-000981,DND41,NA
ACH-000982,GP2D,-1.57065952439
ACH-000983,KCL22,NA
ACH-000984,HEC6,1.10843009393
ACH-000985,LS411N,1.46022515845
ACH-000986,HT115,-1.22686830527
ACH-000987,MEWO,0.50248417947
ACH-000988,MFE319,1.4543552151
ACH-000990,HEC108,0.286070159789
ACH-000991,SNU81,1.11310478411
ACH-000992,BICR18,NA
ACH-000993,JHUEM7,NA
